model_name,month_date,target_month,portfolio,portfolio_return_percent,benchmark_return_percent,mean_fund_excess_return_percent,funds,excess_return_percent,excess_difference
Combination,2024-01-01,2024-02-01,19,2.61172,1.574078,1.037642,1,1.037642,0.0
Combination,2024-02-01,2024-03-01,0,-0.541112,3.2e-05,-0.5411440000000001,2,-0.5411440000000001,0.0
Combination,2024-02-01,2024-03-01,1,-1.3784645000000002,3.2e-05,-1.3784965,2,-1.3784965000000002,-2.220446049250313e-16
Combination,2024-02-01,2024-03-01,2,-1.775879,3.2e-05,-1.775911,1,-1.775911,0.0
Combination,2024-02-01,2024-03-01,3,-0.16688050000000001,3.2e-05,-0.16691250000000002,2,-0.16691250000000002,0.0
Combination,2024-02-01,2024-03-01,4,-0.355827,3.2e-05,-0.355859,1,-0.355859,0.0
Combination,2024-02-01,2024-03-01,5,-0.9471054999999999,3.2e-05,-0.9471375,2,-0.9471375,0.0
Combination,2024-02-01,2024-03-01,6,-0.35378400000000004,3.2e-05,-0.353816,2,-0.353816,0.0
Combination,2024-02-01,2024-03-01,7,-0.079831,3.2e-05,-0.079863,1,-0.079863,0.0
Combination,2024-02-01,2024-03-01,8,-0.20096400000000003,3.2e-05,-0.20099599999999998,2,-0.20099600000000004,-5.551115123125783e-17
Combination,2024-02-01,2024-03-01,9,-0.60335,3.2e-05,-0.603382,1,-0.6033820000000001,-1.1102230246251565e-16
Combination,2024-02-01,2024-03-01,10,1.5693549999999998,3.2e-05,1.5693229999999998,2,1.5693229999999998,0.0
Combination,2024-02-01,2024-03-01,11,-0.451672,3.2e-05,-0.451704,2,-0.451704,0.0
Combination,2024-02-01,2024-03-01,12,0.36384,3.2e-05,0.363808,1,0.363808,0.0
Combination,2024-02-01,2024-03-01,13,-0.21103400000000005,3.2e-05,-0.2110660000000001,2,-0.21106600000000006,2.7755575615628914e-17
Combination,2024-02-01,2024-03-01,14,-1.805614,3.2e-05,-1.805646,1,-1.805646,0.0
Combination,2024-02-01,2024-03-01,15,-0.039259499999999975,3.2e-05,-0.03929150000000001,2,-0.03929149999999997,3.469446951953614e-17
Combination,2024-02-01,2024-03-01,16,1.154545,3.2e-05,1.154513,2,1.154513,0.0
Combination,2024-02-01,2024-03-01,17,0.749428,3.2e-05,0.749396,1,0.749396,0.0
Combination,2024-02-01,2024-03-01,18,0.507383,3.2e-05,0.507351,2,0.507351,0.0
Combination,2024-02-01,2024-03-01,19,-0.620759,3.2e-05,-0.620791,1,-0.620791,0.0
Combination,2024-03-01,2024-04-01,0,6.448069,4.533622,1.914447,2,1.914447,0.0
