model_name,portfolio,mean_monthly_excess_return_percent,months,mean_monthly_return_percent,mean_benchmark_return_percent,annualized_excess_return_percent
Combination,0,0.29437129583333327,24,1.0859609625,0.7915896666666667,3.532455549999999
Combination,1,0.19588541666666667,24,0.9874750833333333,0.7915896666666667,2.350625
Combination,2,0.05294472222222219,24,0.8445343888888889,0.7915896666666667,0.6353366666666663
Combination,3,-0.0016340659722222511,24,0.7899556006944445,0.7915896666666667,-0.019608791666667014
Combination,4,-1.1897793506944445,24,-0.3981896840277779,0.7915896666666665,-14.277352208333333
Combination,5,0.1488744791666666,24,0.9404641458333333,0.7915896666666667,1.786493749999999
Combination,6,-0.24894659375000003,24,0.5426430729166667,0.7915896666666667,-2.9873591250000002
Combination,7,0.07146948263888882,24,0.8630591493055556,0.7915896666666667,0.8576337916666659
Combination,8,0.04067203333333328,24,0.8322617,0.7915896666666667,0.4880643999999994
Combination,9,0.14061373611111103,24,0.9322034027777777,0.7915896666666667,1.6873648333333322
Combination,10,-0.060263621527777846,24,0.7313260451388889,0.7915896666666667,-0.7231634583333342
Combination,11,0.11187327083333333,24,0.9034629375000001,0.7915896666666667,1.34247925
Combination,12,0.08919199305555552,24,0.8807816597222221,0.7915896666666667,1.0703039166666661
Combination,13,0.028489743055555555,24,0.8200794097222222,0.7915896666666667,0.34187691666666664
Combination,14,0.08804237152777777,24,0.8796320381944445,0.7915896666666667,1.0565084583333333
Combination,15,0.3769017951388889,24,1.1684914618055555,0.7915896666666667,4.522821541666667
Combination,16,0.13084862152777768,24,0.9224382881944443,0.7915896666666667,1.5701834583333323
Combination,17,-0.0572167361111112,24,0.7343729305555554,0.7915896666666667,-0.6866008333333344
Combination,18,0.2664508784722221,24,1.0580405451388888,0.7915896666666667,3.197410541666665
Combination,19,-0.012253600694444464,24,0.7793360659722222,0.7915896666666667,-0.14704320833333356
LightGBM,0,0.23845889791666672,24,1.0300485645833335,0.7915896666666667,2.8615067750000005
LightGBM,1,-0.06376479166666671,24,0.727824875,0.7915896666666667,-0.7651775000000005
LightGBM,2,0.24689260763888887,24,1.0384822743055555,0.7915896666666667,2.9627112916666665
LightGBM,3,0.05969815972222211,24,0.8512878263888889,0.7915896666666667,0.7163779166666653
LightGBM,4,-0.660535588888889,24,0.1310540777777777,0.7915896666666665,-7.926427066666667
LightGBM,5,0.21288324652777776,24,1.0044729131944445,0.7915896666666667,2.554598958333333
LightGBM,6,0.025332986111111025,24,0.8169226527777776,0.7915896666666667,0.3039958333333323
LightGBM,7,-0.14862482638888894,24,0.6429648402777778,0.7915896666666667,-1.7834979166666671
LightGBM,8,0.10771324444444441,24,0.899302911111111,0.7915896666666667,1.292558933333333
LightGBM,9,0.3628425208333334,24,1.1544321875,0.7915896666666667,4.354110250000001
LightGBM,10,0.10545947916666659,24,0.8970491458333333,0.7915896666666667,1.265513749999999
LightGBM,11,-0.15315962152777787,24,0.6384300451388888,0.7915896666666667,-1.8379154583333346
LightGBM,12,0.12180844166666666,24,0.9133981083333333,0.7915896666666667,1.4617012999999999
LightGBM,13,-0.10358643402777784,24,0.6880032326388889,0.7915896666666667,-1.243037208333334
LightGBM,14,-0.4099927881944445,24,0.3815968784722222,0.7915896666666667,-4.919913458333334
LightGBM,15,0.1538271493055555,24,0.9454168159722222,0.7915896666666667,1.8459257916666658
LightGBM,16,0.056179367361111066,24,0.8477690340277778,0.7915896666666667,0.6741524083333328
LightGBM,17,0.0852743333333333,24,0.876864,0.7915896666666667,1.0232919999999996
LightGBM,18,0.34609121180555547,24,1.1376808784722223,0.7915896666666667,4.153094541666666
LightGBM,19,-0.1283111076388889,24,0.6632785590277778,0.7915896666666667,-1.5397332916666668
RF,0,0.17968197638888891,24,0.9712716430555556,0.7915896666666667,2.156183716666667
RF,1,0.2328630590277778,24,1.0244527256944445,0.7915896666666667,2.7943567083333334
RF,2,0.06621712499999997,24,0.8578067916666666,0.7915896666666667,0.7946054999999996
RF,3,0.0739373611111111,24,0.8655270277777779,0.7915896666666667,0.8872483333333332
RF,4,0.27138363125000003,24,1.0629732979166666,0.7915896666666665,3.2566035750000006
RF,5,-0.8973205694444446,24,-0.10573090277777779,0.7915896666666667,-10.767846833333335
RF,6,0.02785589930555554,24,0.8194455659722223,0.7915896666666667,0.33427079166666646
RF,7,-0.13154296874999993,24,0.6600466979166667,0.7915896666666667,-1.5785156249999992
RF,8,-0.11340359444444446,24,0.6781860722222222,0.7915896666666667,-1.3608431333333335
RF,9,0.20899737847222213,24,1.0005870451388887,0.7915896666666667,2.5079685416666657
RF,10,-0.042795173611111154,24,0.7487944930555556,0.7915896666666667,-0.5135420833333338
RF,11,-0.15847647569444454,24,0.6331131909722222,0.7915896666666667,-1.9017177083333343
RF,12,0.1325868972222222,24,0.9241765638888889,0.7915896666666667,1.5910427666666664
RF,13,0.2550999548611111,24,1.0466896215277777,0.7915896666666667,3.0611994583333333
RF,14,0.049604281249999965,24,0.8411939479166666,0.7915896666666667,0.5952513749999996
RF,15,0.10663456944444438,24,0.8982242361111111,0.7915896666666667,1.2796148333333326
RF,16,-0.016158987500000017,24,0.7754306791666666,0.7915896666666667,-0.19390785000000021
RF,17,0.08919807291666665,24,0.8807877395833333,0.7915896666666667,1.0703768749999998
RF,18,0.13316941666666662,24,0.9247590833333333,0.7915896666666667,1.5980329999999996
RF,19,0.21780765624999987,24,1.0093973229166664,0.7915896666666667,2.6136918749999984
XGBoost,0,0.22696673749999996,24,1.0185564041666666,0.7915896666666667,2.7236008499999995
XGBoost,1,0.076897375,24,0.8684870416666667,0.7915896666666667,0.9227685000000001
XGBoost,2,0.013286881944444417,24,0.804876548611111,0.7915896666666667,0.159442583333333
XGBoost,3,-0.08495042708333335,24,0.7066392395833333,0.7915896666666667,-1.0194051250000002
XGBoost,4,-0.03532709166666661,24,0.756262575,0.7915896666666665,-0.4239250999999993
XGBoost,5,-1.1569241041666667,24,-0.3653344375,0.7915896666666667,-13.883089250000001
XGBoost,6,0.1549749652777778,24,0.9465646319444444,0.7915896666666667,1.8596995833333336
XGBoost,7,0.0396417465277777,24,0.8312314131944444,0.7915896666666667,0.4757009583333324
XGBoost,8,0.03892889652777775,24,0.8305185631944445,0.7915896666666667,0.46714675833333297
XGBoost,9,0.2757703125,24,1.0673599791666668,0.7915896666666667,3.3092437500000003
XGBoost,10,-0.021031704861111184,24,0.7705579618055555,0.7915896666666667,-0.2523804583333342
XGBoost,11,0.0388254826388889,24,0.8304151493055555,0.7915896666666667,0.4659057916666668
XGBoost,12,0.2251153013888888,24,1.0167049680555555,0.7915896666666667,2.7013836166666656
XGBoost,13,-0.12750729513888903,24,0.6640823715277776,0.7915896666666667,-1.5300875416666684
XGBoost,14,0.1936842534722223,24,0.9852739201388889,0.7915896666666667,2.3242110416666675
XGBoost,15,0.23274043749999995,24,1.0243301041666666,0.7915896666666667,2.7928852499999994
XGBoost,16,0.15172417013888878,24,0.9433138368055555,0.7915896666666667,1.8206900416666654
XGBoost,17,0.010288927083333335,24,0.80187859375,0.7915896666666667,0.12346712500000001
XGBoost,18,0.09131449652777772,24,0.8829041631944444,0.7915896666666667,1.0957739583333326
XGBoost,19,0.17693110069444443,24,0.968520767361111,0.7915896666666667,2.1231732083333332
