feature_1,feature_2,spearman_rho,abs_rho
t_smb_180,t_umd_250,0.3084586991916888,0.3084586991916888
t_mkt_90,ir_p3y,-0.30778198489235936,0.30778198489235936
t_const_180,sr_p3y,0.30777226729092527,0.30777226729092527
r2_180,t_smb_750,0.30769760260073586,0.30769760260073586
t_umd_180,ir_p6m,-0.3075378449286035,0.3075378449286035
r2_180,ir_p1y,-0.30687004986300664,0.30687004986300664
t_const_90,t_umd_750,-0.305888315677066,0.305888315677066
const_90,t_umd_750,-0.30564630295428274,0.30564630295428274
const_180,r2_120,-0.3031343398911565,0.3031343398911565
t_mkt_750,ir_p3y,-0.3027809375482068,0.3027809375482068
const_180,sr_p3y,0.30243475559149197,0.30243475559149197
t_mkt_750,sr_p6m,-0.3019630762002647,0.3019630762002647
const_250,t_mkt_90,-0.3016145399813187,0.3016145399813187
const_90,t_umd_250,-0.30145511992686,0.30145511992686
const_250,t_umd_120,0.30119677258425964,0.30119677258425964
t_mkt_250,t_umd_180,-0.3008176713799384,0.3008176713799384
