predictor,months,mean_ic,median_ic,std_ic,min_ic,max_ic,%_months_abs_ic_ge_0.03,abs_mean_ic,ic_pass
t_hml_250,72,0.1035436413399045,0.1274856175496604,0.4085066641214517,-0.8182608695652173,0.7469919786096257,97.2222222222222,0.1035436413399045,PASS
t_hml_750,48,0.1014897037044888,0.1759664642811666,0.3387737815833877,-0.7492610837438421,0.7885375494071146,93.75,0.1014897037044888,PASS
t_hml_180,76,0.0920702584369607,0.1710537568276003,0.425640390210304,-0.8369230769230769,0.813168449197861,94.73684210526316,0.0920702584369607,PASS
sr_p1y,72,0.0893672988316455,0.1288032553255325,0.3123538769294205,-0.693076923076923,0.7504347826086956,94.44444444444444,0.0893672988316455,PASS
ir_p1y,72,0.0852388340531813,0.1006985611422217,0.3078882735088378,-0.6392307692307693,0.6721739130434782,97.2222222222222,0.0852388340531813,PASS
ir_p6m,78,0.080901213130294,0.115043252224382,0.3182874933510976,-0.6519658119658119,0.846153846153846,93.5897435897436,0.080901213130294,PASS
monthly_return_percent,88,0.0800692524873829,0.0569064278802968,0.3172054275560884,-0.6106860070530309,0.6707947967263291,87.5,0.0800692524873829,PASS
t_const_180,76,0.0759797377331665,0.0978077140485272,0.2619829653859127,-0.5353846153846153,0.6115384615384616,92.10526315789474,0.0759797377331665,PASS
sr_p6m,78,0.0744619219316308,0.148377548162626,0.3188118848770235,-0.71008547008547,0.8605128205128205,97.43589743589745,0.0744619219316308,PASS
t_const_250,72,0.0739021470666675,0.1432560171571096,0.2679723727895252,-0.5112328767123286,0.5896103896103896,95.83333333333334,0.0739021470666675,PASS
ir_p3y,48,0.0708339464668613,0.0619511041250171,0.2857948692299609,-0.5655172413793101,0.5590656284760844,97.91666666666666,0.0708339464668613,PASS
const_90,80,0.0665153868156345,0.038133327899673,0.2661327108372892,-0.5219780219780219,0.7148717948717949,93.75,0.0665153868156345,PASS
const_180,76,0.0651627499531307,0.069016864227661,0.2744886241072032,-0.5361538461538461,0.6553846153846155,90.78947368421052,0.0651627499531307,PASS
t_const_90,80,0.0637534838790545,0.0317703992523559,0.2507506271527076,-0.5336752136752136,0.7176068376068375,87.5,0.0637534838790545,PASS
t_const_120,79,0.0606799144387566,0.0534383525184643,0.2641903857758972,-0.4981196581196581,0.7244444444444444,89.87341772151899,0.0606799144387566,PASS
const_250,72,0.0596955899987945,0.1048163268084204,0.2767103694371348,-0.5195261014439095,0.5904273504273503,97.2222222222222,0.0596955899987945,PASS
t_hml_120,79,0.0567349658310942,0.1458128078817733,0.4252697717177404,-0.8488888888888889,0.816653934300993,94.9367088607595,0.0567349658310942,PASS
const_120,79,0.0562485995654823,0.055051899660656,0.2807553355701239,-0.4953846153846153,0.7757264957264958,89.87341772151899,0.0562485995654823,PASS
t_mkt_750,48,-0.0561808873858034,-0.0616140950262196,0.2195615006545697,-0.4274193548387096,0.3890457368718239,93.75,0.0561808873858034,PASS
t_umd_750,48,-0.0553960312951007,-0.0642317240162799,0.3133641449516422,-0.6057238121700474,0.6024630541871919,93.75,0.0553960312951007,PASS
t_hml_90,80,0.0476607028399471,0.0938533039943423,0.4237007822442062,-0.8338461538461538,0.8102368220015278,95.0,0.0476607028399471,PASS
sr_p3y,48,0.0430214237476045,0.0291383164500094,0.3124313777923894,-0.7108977978543197,0.6189839572192514,95.83333333333334,0.0430214237476045,PASS
r2_750,48,-0.0393560941135608,-0.047158644780594,0.2316389629215423,-0.4762700534759358,0.4669678147939018,87.5,0.0393560941135608,PASS
net_flow_percent,88,0.034408707797394,0.0392733595106324,0.2206905649688893,-0.4213634466799023,0.5458729183975725,93.18181818181816,0.034408707797394,PASS
t_smb_250,72,-0.0314495861845251,-0.0322379953151884,0.272954977131863,-0.6427835051546391,0.7253165316531652,86.11111111111111,0.0314495861845251,PASS
